SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
26,3-4,9.96,9.74,10.28,0.53,-51.43,-51.7,-51.23,0.47,10.61,10.47,10.76,0.28,-54.4,-54.47,-54.35,0.11,3.04,2.81,3.29,0.48,0,0,0,0
27,1-2,14.58,14.39,14.78,0.38,-42.96,-43.04,-42.81,0.22,15.67,15.52,15.84,0.32,-45.44,-45.52,-45.34,0.17,2.71,2.63,2.8,0.16,4.37,4.19,4.54,0.34
27,3-4,16.78,16.59,16.93,0.33,-49.67,-49.79,-49.52,0.26,17.77,17.72,17.86,0.14,-52.58,-52.64,-52.54,0.1,3.07,2.94,3.31,0.37,0,0,0,0
28,1-2,20.36,20.3,20.44,0.14,-40.49,-40.56,-40.42,0.14,21.66,21.45,21.88,0.42,-42.97,-43.22,-42.81,0.4,2.8,2.68,2.95,0.27,4.46,4.26,4.67,0.41
28,3-4,23.19,22.97,23.56,0.58,-47.17,-47.48,-46.84,0.63,24.74,24.57,24.94,0.37,-49.78,-49.83,-49.75,0.07,3.04,2.72,3.29,0.56,0,0,0,0
29,1-2,25.78,25.65,25.89,0.24,-37.63,-37.72,-37.52,0.19,27.48,27.3,27.65,0.34,-39.79,-39.99,-39.65,0.34,2.74,2.62,2.96,0.33,4.4,4.24,4.54,0.29
29,3-4,29.53,29.37,29.67,0.3,-43.69,-44.19,-43.51,0.67,31.3,31.18,31.41,0.23,-46.16,-46.28,-46.07,0.21,3.04,2.89,3.23,0.33,0,0,0,0
30,1-2,30.73,30.63,30.82,0.19,-33.82,-33.93,-33.77,0.15,32.54,32.38,32.79,0.41,-35.81,-36,-35.69,0.31,2.69,2.56,2.82,0.25,4.54,4.28,5.01,0.72
30,3-4,35.03,34.84,35.28,0.43,-39.61,-40.03,-39.2,0.82,37.24,36.97,37.34,0.37,-41.64,-41.73,-41.56,0.16,3.01,2.8,3.26,0.46,0,0,0,0
31,1-2,35.12,34.97,35.22,0.25,-29.52,-29.65,-29.37,0.27,37.25,36.97,37.54,0.57,-31.22,-31.44,-31.14,0.3,2.72,2.54,3.09,0.54,4.49,4.32,4.76,0.43
31,3-4,40.25,40.01,40.47,0.46,-34.56,-35.01,-34.17,0.83,42.63,42.39,42.78,0.39,-36.41,-36.59,-36.25,0.34,3.02,2.86,3.17,0.31,0,0,0,0
32,1-2,38.93,38.78,39.06,0.28,-24.74,-24.86,-24.66,0.19,41.21,40.97,41.53,0.56,-26.19,-26.34,-26.04,0.3,2.7,2.56,2.96,0.39,4.48,4.11,4.76,0.65
32,3-4,44.6,44.46,44.83,0.36,-29.13,-29.37,-28.7,0.67,47.11,46.88,47.23,0.34,-30.53,-30.64,-30.43,0.21,2.88,2.74,3.02,0.27,0,0,0,0
33,1-2,41.93,41.78,42.05,0.26,-19.38,-19.48,-19.25,0.23,44.35,44.12,44.46,0.34,-20.47,-20.6,-20.38,0.22,2.65,2.56,2.77,0.2,4.54,4.26,4.71,0.44
33,3-4,48.21,47.81,48.6,0.78,-22.87,-23.07,-22.73,0.33,50.86,50.69,50.99,0.3,-24.15,-24.24,-24.08,0.16,2.94,2.72,3.21,0.48,0,0,0,0
34,1-2,44.39,44.1,44.52,0.42,-13.64,-13.78,-13.41,0.36,46.95,46.63,47.21,0.57,-14.67,-14.85,-14.58,0.26,2.75,2.64,2.97,0.33,4.45,4.21,4.84,0.63
34,3-4,51.02,50.79,51.25,0.46,-16.46,-17.1,-16.07,1.03,53.76,53.63,53.9,0.26,-17.28,-17.36,-17.18,0.17,2.86,2.67,2.99,0.32,0,0,0,0
35,1-2,45.95,45.82,46.01,0.18,-8.04,-8.32,-7.9,0.41,48.65,48.41,48.79,0.38,-8.26,-8.39,-8.14,0.25,2.7,2.58,2.82,0.23,4.41,4.16,4.61,0.45
35,3-4,52.84,52.55,53.02,0.47,-9.64,-9.91,-9.43,0.48,55.77,55.56,55.86,0.29,-10.03,-10.19,-9.86,0.33,2.95,2.82,3.18,0.36,0,0,0,0
36,1-2,46.71,46.63,46.81,0.17,-1.85,-2.04,-1.67,0.37,49.44,49.34,49.62,0.27,-1.9,-1.99,-1.82,0.16,2.73,2.65,2.92,0.27,4.49,4.26,4.69,0.43
36,3-4,53.86,53.63,53.99,0.35,-2.75,-2.96,-2.39,0.56,56.71,56.56,56.81,0.25,-2.74,-2.84,-2.62,0.21,2.85,2.75,3.07,0.31,0,0,0,0
37,1-2,46.7,46.58,46.79,0.21,4.27,4.21,4.34,0.12,49.37,49.2,49.62,0.41,4.48,4.38,4.55,0.16,2.67,2.59,2.92,0.33,4.38,4.17,4.55,0.37
37,3-4,53.75,53.45,53.96,0.5,4.41,4.16,4.53,0.37,56.66,56.5,56.75,0.25,4.6,4.51,4.7,0.19,2.92,2.8,3.1,0.3,0,0,0,0
38,1-2,46.05,45.88,46.16,0.27,10.42,10.36,10.55,0.19,48.68,48.59,48.84,0.25,10.83,10.68,10.97,0.29,2.65,2.59,2.84,0.25,4.37,4.12,4.59,0.46
